formation,formation_emb_0,formation_emb_1,formation_emb_2,formation_emb_3
4-2-3-1,0.02288644,0.44423798,-0.9801105,0.79187477
4-3-2-1,0.02288644,0.44423798,-0.9801105,0.79187477
4-4-26,-2.055,-1.2110298,-0.41135818,-1.601879
4-3-3,0.40654576,-0.63669467,0.7092712,-0.15495852
4-5-1,0.37899908,0.45315972,-0.6596014,-0.102145776
4-1-4-1,0.02288644,0.44423798,-0.9801105,0.79187477
4-3-1-2,0.21502027,0.13579819,-0.15075876,0.47216272
3-5-2,-0.22711766,0.47290662,-0.0176013,-0.089708105
4-4-2,0.3997724,-0.10769947,-0.042949494,-0.07517053
5-4-1,0.6660309,-0.045603544,-0.73298585,0.034484163
4-4-1-1,0.02288644,0.44423798,-0.9801105,0.79187477
3-4-2-1,-0.38227874,0.7673305,-1.004971,0.9443138
5-2-3,0.890665,-1.0085446,0.6051425,-0.25225282
4-1-3-2,0.21502027,0.13579819,-0.15075876,0.47216272
5-3-2,0.6799784,-0.63832736,0.052770693,-0.116722345
3-6-1,-0.21726266,0.9174435,-0.57493675,-0.027443662
3-4-3,-0.12515998,-0.088446274,0.7418236,-0.13079993
Unknown,-2.055,-1.2110298,-0.41135818,-1.601879
3-1-4-2,-0.37340778,0.41526154,-0.27325198,0.8076704
2-5-3,-0.71914047,0.5112517,0.6495137,-0.13639428
3-4-1-2,-0.37340778,0.41526154,-0.27325198,0.8076704
2-6-2,-0.7265684,0.86239874,-0.04330377,-0.046848014
4-2-4,0.31160176,-0.99158585,1.256745,-0.15019451
3-3-3-1,-0.38227874,0.7673305,-1.004971,0.9443138
6-3-1,0.792455,-0.45302805,-0.6531463,0.09836523
5-1-4,0.9078898,-1.3049577,1.1301289,-0.26751202
1-6-3,-1.2608402,0.88859105,0.66531503,-0.1272728
3-3-4,-0.151245,-0.64653635,1.2524481,-0.060374364
6-1-3,1.1333239,-1.2370828,0.5789571,-0.22811341
4-1-5,0.27488005,-1.3745757,1.7604913,-0.16069539
2-3-5,-0.6457452,-0.42530546,1.6434438,-0.0054958016
2-4-4,-0.6096743,0.09207028,1.1289718,-0.045999035
1-9-0,-1.099155,2.2207582,-0.9507072,0.10646509
4-6-0,0.4451204,0.85817707,-1.0693948,-0.16195948
5-5-0,0.80256677,0.5446944,-1.1179392,-0.056606278
6-2-2,0.8798112,-0.9170952,0.08987148,-0.10865466
7-1-2,1.1039324,-1.171234,0.090884894,-0.088114
3-2-5,-0.18196017,-1.0928663,1.760092,-0.048902646
2-7-1,-0.6857196,1.3270557,-0.55012923,0.026579842
1-7-2,-1.2240274,1.2511424,-0.06907587,-0.0016187578
7-2-1,0.9825885,-0.77862966,-0.5368897,0.08274038
7-3-0,0.94059885,-0.24503094,-1.3044585,0.3003459
2-2-6,-0.6708256,-0.9682077,2.158421,0.049638465
3-7-0,-0.10475418,1.3318355,-1.0453068,-0.007994011
0-10-0,-1.4848578,2.6160839,-0.97224987,0.11704795
3-1-6,-0.22430778,-1.4794424,2.2723155,-0.06432195
2-8-0,-0.6903813,1.7717156,-0.9527251,0.10354476
6-4-0,0.91764253,0.18222415,-1.1938068,0.20186006
0-7-3,-1.783643,1.260293,0.685958,-0.09768279
1-5-4,-1.1022828,0.5930592,1.0397975,-0.0081819445
6-0-4,1.3681002,-1.5791345,1.1224766,-0.35113585
1-4-5,-1.0801218,0.24249294,1.5124865,0.060832784
